Episode: 265, Total Reward: 231.7, Max Tile: 64, Steps: 100, Epsilon: 0.767
Episode: 266, Total Reward: 287.2, Max Tile: 128, Steps: 121, Epsilon: 0.766
Episode: 267, Total Reward: 248.3, Max Tile: 64, Steps: 110, Epsilon: 0.766
Episode: 268, Total Reward: 372.4, Max Tile: 128, Steps: 149, Epsilon: 0.765
Episode: 269, Total Reward: 302.4, Max Tile: 128, Steps: 125, Epsilon: 0.764
Episode: 270, Total Reward: 530.4, Max Tile: 256, Steps: 215, Epsilon: 0.763
Episode: 271, Total Reward: 123.7, Max Tile: 32, Steps: 59, Epsilon: 0.763
Episode: 272, Total Reward: 299.1, Max Tile: 64, Steps: 123, Epsilon: 0.762
Episode: 273, Total Reward: 67.2, Max Tile: 16, Steps: 39, Epsilon: 0.761
Episode: 274, Total Reward: 350.7, Max Tile: 128, Steps: 140, Epsilon: 0.760
Episode: 275, Total Reward: 389.2, Max Tile: 128, Steps: 161, Epsilon: 0.759
Episode: 276, Total Reward: 301.1, Max Tile: 128, Steps: 128, Epsilon: 0.759
Episode: 277, Total Reward: 367.2, Max Tile: 128, Steps: 154, Epsilon: 0.758
Episode: 278, Total Reward: 379.9, Max Tile: 128, Steps: 155, Epsilon: 0.757
Episode: 279, Total Reward: 371.1, Max Tile: 128, Steps: 155, Epsilon: 0.756
Episode: 280, Total Reward: 320.5, Max Tile: 128, Steps: 134, Epsilon: 0.756
Episode: 281, Total Reward: 342.9, Max Tile: 128, Steps: 140, Epsilon: 0.755
Episode: 282, Total Reward: 262.1, Max Tile: 64, Steps: 113, Epsilon: 0.754
Episode: 283, Total Reward: 161.9, Max Tile: 64, Steps: 74, Epsilon: 0.753
Episode: 284, Total Reward: 176.0, Max Tile: 64, Steps: 79, Epsilon: 0.753
Episode: 285, Total Reward: 399.0, Max Tile: 128, Steps: 164, Epsilon: 0.752
Episode: 286, Total Reward: 224.8, Max Tile: 64, Steps: 99, Epsilon: 0.751
Episode: 287, Total Reward: 143.1, Max Tile: 32, Steps: 69, Epsilon: 0.750
Episode: 288, Total Reward: 515.7, Max Tile: 256, Steps: 201, Epsilon: 0.750
Episode: 289, Total Reward: 249.1, Max Tile: 128, Steps: 104, Epsilon: 0.749
Episode: 290, Total Reward: 418.6, Max Tile: 256, Steps: 175, Epsilon: 0.748
Episode: 291, Total Reward: 181.5, Max Tile: 64, Steps: 80, Epsilon: 0.747
Episode: 292, Total Reward: 244.7, Max Tile: 128, Steps: 102, Epsilon: 0.747
Episode: 293, Total Reward: 206.2, Max Tile: 64, Steps: 91, Epsilon: 0.746
